date,positive,negative,death,positiveIncrease,negativeIncrease
2020-4-6,361331,1555764,10680,29023,126040
2020-4-5,332308,1429724,9498,26553,111672
2020-4-4,305755,1318052,8314,33767,193178
2020-4-3,271988,1124874,6962,32889,96225
2020-4-2,239099,1028649,5784,28283,89459
2020-4-1,210816,939190,4700,26133,74989
2020-3-31,184683,864201,3746,24153,79877
2020-3-30,160530,784324,2939,21469,92034
2020-3-29,139061,692290,2428,20827,74820
2020-3-28,118234,617470,1965,18821,90250
2020-3-27,99413,527220,1530,18678,88617
2020-3-26,80735,438603,1163,16807,80999
2020-3-25,63928,357604,900,11974,64826
2020-3-24,51954,292778,675,9802,55457
2020-3-23,42152,237321,471,10273,43858
2020-3-22,31879,193463,398,8682,37554
2020-3-21,23197,155909,272,6164,37762
2020-3-20,17033,118147,219,5314,28994
2020-3-19,11719,89153,160,3989,22928
2020-3-18,7730,66225,112,2008,18621
2020-3-17,5722,47604,90,1703,11500
2020-3-16,4019,36104,71,846,13553
2020-3-15,3173,22551,60,723,5449
2020-3-14,2450,17102,49,528,3489
2020-3-13,1922,13613,39,607,5572
2020-3-12,1315,8041,36,261,1971
2020-3-11,1054,6070,27,276,2263
2020-3-10,778,3807,24,194,440
2020-3-9,584,3367,22,167,1032
2020-3-8,417,2335,18,76,526
2020-3-7,341,1809,16,118,238
2020-3-6,223,1571,14,47,618
2020-3-5,176,953,11,58,205
2020-3-4,118,748,10,,
